Stage,Task,Description,Target,Status,Notes
0 - Kickoff,Read WACV 2027 CFP + Author Guidelines,End to end. Note page limit / dual-submission / template rules.,2026-06-01,todo,
0 - Kickoff,Set up paper repo,Overleaf or local LaTeX + Git tracking.,2026-06-02,todo,
0 - Kickoff,Download WACV/IEEE template,Build empty paper skeleton with section headers.,2026-06-02,todo,
0 - Kickoff,Install reference manager,Zotero + empty bibliography file.,2026-06-03,todo,
0 - Kickoff,Block daily research time,2 hours/day in calendar 7 days/week.,2026-06-03,todo,
1 - Foundations,Re-read Kerbl 2023 (3DGS),"Cover to cover; notes on Sec 3 (representation) + Sec 4 (renderer).",2026-06-04,todo,
1 - Foundations,Read NeRF (Mildenhall 2020),Note the implicit/explicit contrast.,2026-06-06,todo,
1 - Foundations,Read Mip-NeRF 360 (Barron 2022),Note the unbounded-scene contraction.,2026-06-07,todo,
1 - Foundations,Read DUSt3R / MASt3R / VGGT,The feed-forward camera+depth lineage (WorldMirror's family).,2026-06-09,todo,
1 - Foundations,Read SuGaR + 2DGS,Direct splat-to-mesh competitors. Know them cold.,2026-06-10,todo,
2 - Lit review,Read 8-10 WACV 2026 splat papers,"ForestSplats, 3D Superquadric, DARB, MagicDrive3D, Gaussian Swaying, GDoFS, STRinGS, RapidMV.",2026-06-12,todo,
2 - Lit review,Read 5-8 generative scene-synthesis papers,"Wonder3D, WonderWorld, CAT3D, Bolt3D, Marble, HunyuanWorld 2.0.",2026-06-14,todo,
2 - Lit review,Pick paper angle,"A1 splat-to-mesh / A2 benchmark / A3 end-to-end Ryotenkai system. PICK ONE.",2026-06-15,todo,
2 - Lit review,Write 1-page problem statement + outline,5 sections + 2 figures planned.,2026-06-16,todo,
2 - Lit review,Lock paper title + 200-word abstract,Tentative — can revise later but commit now.,2026-06-17,todo,
3 - Baselines,Pick benchmark scenes,Mip-NeRF 360 (7 scenes) + optional Tanks & Temples.,2026-06-19,todo,
3 - Baselines,Set up evaluation pipeline,"PSNR, SSIM, LPIPS, Chamfer (if mesh), file size, load time. Document sources.",2026-06-23,todo,
3 - Baselines,Reproduce baseline #1 on 1 scene,Verify numbers within ±0.5 of published.,2026-06-26,todo,
3 - Baselines,Reproduce baselines #2 and #3 on 1 scene,Sanity-check across all baselines.,2026-07-01,todo,
4 - Method + experiments,Implement core contribution,Get it working on 1 scene first.,2026-07-03,todo,
4 - Method + experiments,Run on full benchmark,7 Mip-NeRF 360 scenes.,2026-07-06,todo,
4 - Method + experiments,Collect raw numbers into CSV,Don't analyze yet — just collect.,2026-07-08,todo,
5 - Ablations + figures,Ablate each pipeline component,3-5 ablations.,2026-07-11,todo,
5 - Ablations + figures,Build qualitative comparison figure,Your method vs 3 baselines on 2 scenes.,2026-07-13,todo,
5 - Ablations + figures,Build main quantitative results table,LaTeX-ready.,2026-07-14,todo,
5 - Ablations + figures,Build teaser figure for page 1,One striking image + one-line caption.,2026-07-15,todo,
6 - First draft,Write Introduction,1.5 pages. Includes JJK 'domain expansion' metaphor opener.,2026-07-12,todo,
6 - First draft,Write Related Work,1 page. 25-30 citations.,2026-07-14,todo,
6 - First draft,Write Method,2 pages with method overview figure.,2026-07-16,todo,
6 - First draft,Write Experiments + Results,2 pages + tables.,2026-07-18,todo,
6 - First draft,Write Conclusion + Limitations + Broader Impact,0.25 page.,2026-07-19,todo,
6 - First draft,INTERNAL DEADLINE — full draft circulated,Self-set sub Jul 20 (well before WACV's Aug 27).,2026-07-20,todo,
7 - Polish,Get 2-3 readers to review,Collect comments.,2026-07-27,todo,
7 - Polish,Iterate on figures from feedback,Teaser / methods / qual comparison.,2026-08-03,todo,
7 - Polish,Run final ablations flagged by reviewers,Only the ones with clear stories.,2026-08-10,todo,
7 - Polish,Polish abstract to final form,Tightest possible version.,2026-08-14,todo,
7 - Polish,Final proofread,Read aloud — every sentence.,2026-08-17,todo,
7 - Polish,Prepare supplementary material,Additional results / video / code link.,2026-08-19,todo,
8 - Submission,WACV REGISTRATION DEADLINE,"Title, abstract, authors, keywords locked. NO PDF YET.",2026-08-20,todo,HARD DEADLINE
8 - Submission,Run plagiarism / overlap checker,Avoid surprises.,2026-08-23,todo,
8 - Submission,Format check,Page count / margins / font / blind-review compliance.,2026-08-25,todo,
8 - Submission,Build final submission ZIP,Paper PDF + supplementary.,2026-08-26,todo,
8 - Submission,WACV PAPER SUBMISSION DEADLINE,Upload PDF + supp by 23:59 AoE.,2026-08-27,todo,HARD DEADLINE
